input_text,target_expl,generated_expl
"where could you find hundreds of thousands of home?, city or town, apartment building, or neighborhood? commonsense says",a city or town is a common place,"cities are large cities, so the answer would be "" large enough to live """
"he was getting advice for the job interview, they told him when talking to the interviewer always make what?, social life, eye contact, or get tired of? commonsense says","20 tips for great job interviews research the industry and company.... clarify your "" selling points "" and the reasons you want the job.... anticipate the interviewer's concerns and reservations.... prepare for common interview questions.... line up your questions for the interviewer.... practice, practice, practice.... score a success in the first five minutes.",to have a good time with people you have to talk about them
"bill wanted to pick up a stranger, preferably a responsible one with kids. where might he look for one?, bus station, park, or train station? commonsense says",a partk pick up a stranger,a bus station is the only place that is likely to have a stranger to be able to find one
"john bought a new water hose. but he found his old one near his car. where did he find the old one?, garden shed, hardware store, or garage? commonsense says",people usually keep their cars by their garages,since the old school would be next to his house and his own house would be next to his house.
"a story about world war ii would be set when?, newspaper, book or magazine, or past? commonsense says","the past tense of "" change "" is "" changed",newspapers are the only option that can be found in a war.
"if a court case is dismissed after hearing testimony, what would be a likely cause?, anguish, change of heart, or anger? commonsense says",change of heart case is dismissed after hearing testimony,anger is a feeling when confronted with a situation that is taken too quickly.
"some people got escorted out of the library, they were probably what?, amount to nothing, state facts, or talking loudly? commonsense says",talking loudly some people got escorted,it is only in the library
"some food can be stored at room temperature until you open it, then you should keep it in what?, shelf, refrigerators, or shop? commonsense says",refrigerators food can be stored at room temperature until you open it,shelf is the only place you would put it in a container.
"where is a likely place to store unused soap?, supermarket, own home, or cabinet? commonsense says",the store of the cabinet,"you wouldn't have soap in a store or basement, and you wouldn't store it in a soapbox."
"what geographic area is a lizard likely to be?, west texas, arid regions, or warm place? commonsense says",west texas geographic area is a lizard likely to be?,texas is the only specific location.
"if someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?, refrigerator, container, or gay bar? commonsense says",it's a disappointment of gay bar,a person who is not a person will use a word to describe their own personal traits.
"what is a person who is good at sports considered?, talented, affluent, or reproduce? commonsense says",sports considered is a talented person is good,athlete who is good at sports is known to be a great athlete.
"his headphones cord was loose and he found the song inaudible, but after jostling with the cord everything became what?, vocal, audible, or loud? commonsense says","to make his headphone sound audible, he would need to secure the cord",audio is the only option that would be used to play music.
"what could suddenly stop someone when he or she is running?, falling down, getting tired, or exhaustion? commonsense says",falling down is the only thing that would make someone suddenly stop.,"if someone is running, they are likely running away."
"where are you likely to set papers while working on them?, table, drawer, or meeting? commonsense says",tables make it easy to access the papers you're working on,when you store papers you set them on a table.
"a farmer sees a weasel in the woods, where is the farmer?, fairytale, corn fields, or great outdoors? commonsense says",great outdoors is comparable to woods,"a farmer would find a weasel in a field, as a farmer's field."
"what does impeachment mean for the president?, trouble, election, or board room? commonsense says",trouble does impeachment mean for the president,"the constituion means to move, so it leaves the question, or what, or a person will do"
"james and holly went dancing together. as they danced, he pressed himself against her what?, rhythmic movement, moving body, or euphoria? commonsense says",moving body dancing together. as they danced,love is a form of dancing.
"the man started to learn jogging, what was he hoping to do?, fitness, getting in shape, or fatigue? commonsense says",getting in shape man started to learn jogging,he was ready to go anywhere
"he used an umbrella while tanning, where was he likely?, suitcase, beach, or seattle? commonsense says",beach used an umbrella while tanning,you would go to a beach towel if you are out of a swimming pool.
"if the wood texture is not smooth it is what?, gilded, less dense than water, or porous? commonsense says","in addition to the actual color and appearance of the wood, there are also more... is described as coarse texture ), while others will feel very smooth and glassy.",the wood is more delicate than the other choices
"what does someone have that causes them committing murder?, problems, fear, or go to jail? commonsense says",committing murder for problems,murder is a crime and it is a crime
"where is a salt shaker most often kept?, kitchen cupboard, cruet, or table setting? commonsense says",salt shakers are usually kept on the table,a salt pot would be where a salt pot would be kept.
"christine couldn't be having a baby at her age, she thought to herself. what was christine?, old person, adult, or old man? commonsense says",the not babyin old person,old people are most likely to have a baby because it's a old man and the old woman will be happy with her.
"a child wants to play, what would they likely want?, play tag, breathe, or fall down? commonsense says",a child to play tag,play is the best way to play.
"competing can lead to great highs, and also great lows when suffering what?, sweat, aggression, or defeat? commonsense says",defeat can lead to great highs,when people compete with something they have to fight
"if a car - less person want to listen to talk radio in private, where might they listen to it?, shop, bedroom, or space shuttle? commonsense says",a car - less person want to listen do not use phone,people are not allowed to go to a music store or a music store
"at a shop what can you buy to put your spare unused things?, ocean floor, container, or high school? commonsense says",things go into containers.,a shop is the only place where you can store items.
"why would one try to avoid work?, malaise, making money, or leave home? commonsense says","avoiding things that overwhelm you can make a simple problem worse.... antacids aren't working anymore, and you begin to think you may have a... or a question in a meeting you'd like to answer,","if you don't want to leave you, you don't want to go back to work"
"where is a shelf likely to be hidden behind a door?, cupboard, refrigerator, or bookstore? commonsense says",in house behind a door cupboard only contains,shelf is the only place that a shelf can be hidden.
"a patriotic guy with a camera is looking for a bald eagle, what is he likely to do with the eagle if he finds one?, minnesota, thermal, or photograph? commonsense says",cameras can take photographs.,he would be at a military base to get a photo shoot for him.
"blue read material outside of his comfort zone because he wanted to gain what?, new perspective, entertained, or understanding? commonsense says",new perspective is very comfort for everyone.,is the best since it is the best backup
"where would you use a folding chair but not store one?, beach, garage, or closet? commonsense says",we use easy to carry chair at beach only,a folding chair is a folded item that you would put in a closet when not in use.
"mandy lived in a train station. she longed to see distant places. where might she imagine going?, downtown area, europe, or big city? commonsense says",europe is a continent located entirely in the northern hemisphere and mostly in the eastern hemisphere,"europe is not in europe, and many people are away from home."
"you have to a lot of thinking while studying a new subject, but it is how you gain what?, depression, fatigue, or knowledge? commonsense says",knowledgehave to a lot of thinking while studying a new subject,learning is the process of learning by your brain to gain knowledge.
"he was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?, committing perjury, getting hurt, or prosecution? commonsense says",an trial committing perjury for obstructing justice,perjury is a crime and the justice judge would be put down in court to make a mess.
"what is the animal trying to accomplish?, feel pain, live long, or eating? commonsense says",all animals try to survive as long as possible in life,pain is the only negative thing for the person's life.
"what could you use to fill a cup and then drink from it?, kitchen cabinet, sand box, or water fountain? commonsense says","how to fill a cup with water : our bodies all rely on one very important substance : water. without it... for this tutorial,",water fountain is the only thing that would hold a liquid.
"in a horror movie victims usually trip when the run in order to do what in regards to the killer?, go faster, get away from, or frightened? commonsense says",killing of the get away from,death is the only thing listed that could be fatal.
"they were getting ready for a really long hike, he put the food can in his what?, recycling center, house, or backpack? commonsense says",backpacks are used on hikes.,it is the only option out of the three choices that would help him to get somewhere else.
"the guys had a regular poker game, rather than going to the movies this what their what?, social event, competition, or losing money? commonsense says",a social event in guys,only a movie is a typical movie.
"what would a person do if they do not have any friends?, try again, fall asleep, or stand alone? commonsense says",stand alone would a person do if they do not have any friends?,a person who is not already know who might have friends.
"the soldier was told to get to the rendezvous point, for there he was suppose to what?, wait for orders, follow instructions, or fight enemy? commonsense says",because the food was fine in wait for orders,the leader would have to wait for the signal
"what do people typically do while playing guitar?, singing, making music, or arthritis? commonsense says",many people like to sing while playing guitar,playing guitar is the only option that would help someone who is not playing.
"what happens to a dog before someone puts up posters of them?, trained, get lost, or require water? commonsense says",people colloquially put up posters to find lost dogs,you would want to put pictures on a wall
"why do people play chess on the weekends?, satisfaction, made, or have fun? commonsense says",having fun is often the goal of playing a game,people often play games in order to have fun.
"what do you feel when giving assistance to the needy?, reward, pleasure, or satisfaction? commonsense says",the biz satisfaction other recordings of this song,the person who is receiving assistance is receiving assistance.
"alabama is full of different people, but they are all citizens of what?, united states, gulf states, or deep south? commonsense says",a. united states : alabama is full of different people,united states is the only answer that is a part of the united states.
"john felt that his actions were fate. harry said that he could have always made a different what?, choice, free will, or freedom? commonsense says",you can make a different choice.,"if one feels bad for the decision to take this trip, he would have to choose the right choice."
"i house outside the center of a community is said to be where?, subdivision, city, or street? commonsense says","subdivision is most fitting as a city and street are more likely to be in the center of the community, not out.",the city is the only thing that is not a part of a city.
"i am looking for honey right from the source, where should i look?, jar, farmer's market, or beehive? commonsense says",i am looking for beehive right from honey source,a farmer's market is where honey is grown.
"the field general began to write out a letter to the king, he was told to send what when the enemy was near?, word, syllable, or english alphabet? commonsense says",word of the king began,the army corps of the army corps is the only place that would fight with a general.
"what will happen to someone if his or her spirits cannot elevate?, drop, depress, or decrease? commonsense says",spirits can't elevate when depressed.,"when someone is unable to lift their head, they have to lower their head."
"when you wipe you feet on the door mat and walk through the door where do you enter?, school, living room, or bathroom? commonsense says",door mats are placed outside at homes,the school is the only place where you would go to find a mirror
"what would a person need to do if his or her captain dies at sea?, cross road, experience life, or man crew? commonsense says",captain dies at sea in a man crew,death is the only answer that would lead to death
"where would a cat snuggle up with their human?, humane society, window sill, or comfortable chair? commonsense says","when a cat cuddles with someone, it is usually while their owner is relaxed and comfortable, thus in a chair",a cat is likely to be comfortable with a warm blanket in a comforter.
"bart entered his horse into the contest. where did he do this?, in kentucky, state fair, or central park? commonsense says",one enters horses into contests at state fairs,kentucky is a state in the united states
"when did mammoth's live?, prehistory, ancient times, or forest? commonsense says",ancient times mammoth's live,mammoths lived in a time before history was recorded
"where would you find magazines along side many other printed works?, train station, bookstore, or market? commonsense says",bookstores have a variety of material,"bookstores contain magazines, but only the other two options are listed"
"what do you need energy to do in gym class?, play sports, wrestle, or work? commonsense says",combining complex carbohydrates with healthy fats and protein for a pre - workout snack is a great way to boost your energy and provide your body with the nutrients and fuel it needs to perform its best. the amount that you eat before your workout is totally up to you and where your hunger levels are at.,gym is the place to get sports done
"if a small flying animal picks up a string, where are they taking it?, quark, guitar, or bird's nest? commonsense says","more time and energy the birds invest in the nest, the less likely they are to abandon it when disturbed.",a bird is the only choice that makes a sound.
"what might you need to do cleaning?, healthy living, using water, or allergies? commonsense says",motivated yet? take a deep breath and read on to find out how frequently you should be cleaning your house. truth time : it's more than once a year.,you need to clean your house when you need to clean your house.
"jan tested the current, and noticed that it was high. he thought that the wires might have too much what?, resistance, still, or now? commonsense says",jan is testing the current's resistance,"if you're not using a wire, you will be unable to resist it."
"what does someone do to relax at night?, go to bed, stop worrying, or listen to music? commonsense says",go to bed do to relax at night someone.,"when you are tired, it is best to stop working."
"what could prevent a driving car from continuing to drive?, smoke, automobile accidents, or backache? commonsense says",military band group may be one of the few where playing the bugle has a big role,driving in a car will cause a car to start.
"a fencing thrust with a sharp sword towards a person would result in what?, puncture wound, small cuts, or injury? commonsense says",for a good place to buy farmlan is a good think,"if you are not stabbed a sword, you will get a sword injure or a broken leg."
"where is a control room needed to prevent wide spread disaster?, recording studio, airbase, or nuclear plant? commonsense says",is the best since it is the best backup,nuclear weapon is the only option that would have a control area
"after standing up i had to sit right back down, why would i feel like this?, effort, feet, or balance? commonsense says",after standing up balance to sit right back down,"when you're standing up, you need to get balanced."
"what is the habitat of the fox?, england, mountains, or hen house? commonsense says",mountains is the habitat of the fox,"foxes live in the arctic, unlike the other options"
"where do you buy condoms?, bedroom, supermarket, or medicine chest? commonsense says","a supermarket is a self - service shop offering a wide variety of food, beverages and household",condoms are sold at stores.
"where do adults use glue sticks?, classroom, desk drawer, or office? commonsense says",the adults use glue sticks office,"a classroom would have easy to use, since it is hard to identify with a stick."
"james need to use a toilet but there were no public ones in sight. eventually he broke down and did something very expensive so that he could get a toilet. where might he have gone?, motel room, bathroom, or house? commonsense says",motel room - definition of motel room by the free dictionary,a public building is the only place where a person can go to find a water fountain.
"what is likely to have a better school cafeteria?, high school, polytechnic, or large room? commonsense says",students get their lunch from a salad bar at the school cafeteria as some of more... with a healthy lunch company,"a cafeteria has a large cafeteria, and this is where there would be more food to be cafeteria."
"aliens, humans and everything is a part of what?, outer space, universe, or roswell? commonsense says",aliens was in universe,the question is about the universe and the universe is the answer.
"sam wasn't lying, but he left out important details. he was being what?, dishonesty, deceitful, or imagination? commonsense says",deceitful sam wasn't lying,he didn't know what he was planning for
"a statue that shoots liquid is called a what?, water fountain, large city, or central park? commonsense says",a water fountain in the shoots,water fountain is the only thing that is a water fountain.
"james decided that competing was the right choice. not competing has a defined outcome, but if he competes then what could happen?, perform better, winners and losers, or might win? commonsense says",if there are no competing he will be won easily,winners and losers are the only possible choice for winning.
"where can you find a number of wind instruments together in public?, music store, symphony, or music room? commonsense says",a symphony has many wind instruments and it is a public event,symphony orchestra is the only place that is not likely to sell a musical instrument.
"where could you go to between 1000 and 10000 restaurant?, canada, big city, or yellow pages? commonsense says",restaurants are in big cities.,a big city is the only place where you could find a lot of people on it.
"a town between two mountains is located in a what?, train station, valley, or michigan? commonsense says",the rocky mountains are considered fold mountains. this means that they were formed at a point where two of the earth's tectonic plates meet. the sierra nevada mountain range runs north - to - south along the west coast of the united states mostly in the state of california and some in the state of nevada.,mountains are the only thing that are in the mountains.
"where is a handy place to store a steel pen in your office?, hand, desk drawer, or warehouse? commonsense says",sturdier than an office under desk pencile drawer,i consider it the best option because they have to be more true
"what could committing murder prevent someone from doing?, guilty conscience, find god, or problems? commonsense says",god doesn't approve of murder.,only reasonable answer for a guilty person
"where is one likely to find poker chips?, supermarket, pantry, or bar? commonsense says",to find poker chips bar on likely.,poker is a game where people will find any poker
"at the end of the day as he began to eat he paused and thanked her, it wasn't often she would what?, get food, cook dinner, or make food? commonsense says",sun sets in the end of the day as well.,"when you eat, you eat food"
"if you take the risk buying a used car, you still hope it can what?, going too fast, last several years, or start running? commonsense says",i consider it the best option because they have to be more true,if you are buying a new car it will get tired.
"bob stands in the grass surrounded by trees and nature, where is bob?, state park, soccer game, or fairgrounds? commonsense says","california state parks, state of california",park is the only place where people play in the trees.
"the flasks was used to distill elements, where was is being used?, laboratory, coat pocket, or chemistry lab? commonsense says",a place where elements could be distilled that is specific to chemistry.,place of employment of business
"why do some people get passports and go to different locations?, use weapons, desire to travel, or smoke marijuana? commonsense says",desire to travel in different locations,"to get abroad, one must travel over a country."
"why is religion so hard to understand?, both positive and negative, unknowable, or confusing? commonsense says",religion so hard to understand and did not carry everywhere.,to understand the unknowable.
"where can one obtain a bass fiddle?, music store, jazz band, or nursery rhyme? commonsense says",obtain a bass in music store,music store is the place to sell a string instrument.
"the kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?, floor, warm place, or farmhouse? commonsense says",floor kitten had nothing to dig it's claws into.,"the cat's paw is soft and couldn't fit on the floor. it was stuck in a corner of the house, so it couldn't fit on the floor"
"where is a good place to put a hamburger?, fast food restaurant, mouth, or pizza? commonsense says",mouth in the hamburger,"fast food restaurants serve hamburgers, and don't have plates"
"eating breakfast in bed while seeing a homeless person shivering outside your window may cause you to what?, spills, indigestion, or feel guilty? commonsense says",the person eating breakfast in bed while outside your window another person i feel guilty.,"if you are homeless, you will likely feel embarrassed."
"what is another name for a disk for storing information?, computer store, computer hard drive, or cd player? commonsense says",only place we store information is hard drive,a computer is the only likely place to store a digital computer.
"the hikers stopped to have a drink, simply put they what?, celebrating, refreshment, or were thirsty? commonsense says",hiking is strenuous activity that works up a thirst.,"when you are thirsty, you usually drink water"
"people are very much like the animals, but one thing has secured or dominance over the planet. we're better at doing what?, eat eggs, smoke pot, or make tools? commonsense says","other animals sometimes use tools like apes, but the question is still poorly worded","the best way to defeat a species is to make a living, namely in a cage."
"someone who had a very bad flight might be given a trip in this to make up for it?, first class, propitious, or reputable? commonsense says",if you're given a trip it is most likely first class that you may be compensated with by the airline.,you don't need to be a bad trip or a bad trip.
"sally was afraid of danger and always double checked what?, being safe, safety, or secure? commonsense says",thre sagety of the double,if you are not careful you would be safe to check if she was not in danger.
"in basic training they build you up only to do what, all in hopes of building you up even stronger the next time?, destroying, tear down, or demolition? commonsense says",is the best since it is the best backup,to build a strong foundation and build you will eventually get stronger.
"sally was standing in queue. the line was very, very slow. what was she feeling?, being annoyed, delays, or frustration? commonsense says",that's the best option since that's where there are more roses,"if a line is being queued, it is very difficult to feel frustration."
"what could you be a few hours after you finish cashing in due to your cash?, receiving money, selling out, or happy? commonsense says",c. happy what could you be a few hours after you finish cashing in due to your cash?,"after you finish paying your bills, you will be expected to have paid."
"what do audiences clap for?, show, hockey game, or theatre? commonsense says","in order to express appreciation during a show, an audience will politely clap their approval.",people are most likely to be happy for their performance.
"what is a place that usually does not have an elevator and that sometimes has a telephone book?, telephone booth, house, or at hotel? commonsense says",is the best option in all,a telephone booth is a place where there are many people use it.
"what is someone doing if he or she is sitting quietly and his or her eyes are moving?, think, fall asleep, or reading? commonsense says",when you read your eyes are generally moving,"the question is about how someone is moving, what is it happening, and what is it happening?"
"the newlyweds began copulating their marriage, they wanted many what?, odors, babies, or rapport? commonsense says",babies are made by copulating,"couples who are married have sex, usually with babies."
"they wanted to recognize his accomplishment, where should they put his name?, certificate, phone book, or directory? commonsense says",certificate of recognition for administrative professional,you would need a telephone in order to establish a permanent home.
"before racers start to run they must do what at the starting line?, stand still, walking, or walk slowly? commonsense says",stand still before racers start to run they must,racers will start at the start.
"what is the slang for where you store fresh vegetables?, fridge, market, or refrigerator? commonsense says",fridge is the slang for where you store fresh vegetables,the supermarket is the only place where things are sold.
"where could a person avoid the rain?, fairy tale, street corner, or synagogue? commonsense says",synagogue person the rain,a street corner is a good place to avoid a storm.
"sally was bored because she didn't like the junk that was on what?, drawer, bed, or television? commonsense says","c television ( c tv ) is the flagship television station of the caribbean new media group, a state - owned media company in trinidad and tobago. c television...",television is what you do when you are bored
"what kind of food makes someone sick?, necessary to live, unhealthy, or edible? commonsense says",unhealthy foods result in slckness,to survive
"the pitcher stepped on the mound ready to throw, where was he located specifically?, baseball stadium, baseball diamond, or hell? commonsense says",baseball diamond to the pitcher,a baseball stadium is the only place you can throw a baseball.
"where do you throw a ball at pins?, sporting goods store, bowling alley, or sporting event? commonsense says",bowling alley is the only place where we throw balls,bowling pins are the only common object for bowling pins.
"the bald eagle flew from mount st helen's to the puget sound and all over what?, northern california, washington state, or pacific northwest? commonsense says",washington state travel and tourism. enjoy our beautiful state,washington state is in the pacific northwest
"writers with a great what can amass a large fortune?, bank, imagination, or cookie? commonsense says",that's the best option since that's where there are more roses,fortunes are fortunes that are run by people.
"what could happen to a cat other than wanting food?, feline, thirsty, or hungry? commonsense says",the only other thing a cat would intake besides food is water.,"a cat can be hungry, but not a cat can be hungry."
"billy set aside a block of time for having fun after work. why might he do this?, happiness, stress relief, or may laugh? commonsense says",stress releif it a block of time having fun after work,stress relief is the only thing that would help you relax.
"james was meeting a friend. they had planed a slow day. they didn't want to do much. they just wanted what?, cheer, relaxation, or panic? commonsense says","when one does not want to do much, they usually want to relax",panicking people can be calm and relax when they are tired.
"what part of a table would you put a ruler in?, office, drawer, or desk? commonsense says",put a ruler in drawer,table is the only thing that is not in the table
"where are you likely to find a supermarket?, city or town, vermont, or strip mall? commonsense says",the city supermarket down,strip mall is the only place where you can find a shopping mall
"the business man was promoted recently, to celebrate he went where to buy an expensive wristwatch?, jewelry store, hock, or case? commonsense says",jewelry store business man was promoted recently,a good day is the most likely place to have a new watch.
"copulating with the wrong partner may be ill advised, many diseases can be transferred that can cause different types of what?, skin irritation, period of rest, or intense pleasure? commonsense says","one can get stds, which can lead to skin irritation, if one sleeps with an infected person",pain is the only option that can happen to an injured person.
"where is the closest place from where you could borrow salt?, ocean water, table, or neighbor's house? commonsense says",the closest place from neihbor's house borrow salt,"you can't purchase salt from a neighbor's house or the nearest place. you can't purchase salt from a neighbor's house, but you can't purchase it from a neighbor's house."
"the neighborhood had a great sense of community, there was always a crowd at the landing of the what?, airport, apartment building, or stairwell? commonsense says",apartment building neighborhood had a great sense of community,the only place that might have
"how would you express information if you do not have a pen or pencil?, write down, talk, or may disagree? commonsense says",the talk of the pen or pencil in writing,writing a letter would be the only way to express your own needs.
"where is a broadcast studio likely to be heard?, radio station, town, or arena? commonsense says",a. radio stationis a broadcast studio likely to be heard,radio stations are generally located in towns.
"what does a gambler do that causes him or her to be unhappy?, play cards, lose money, or play poker? commonsense says",gambler lose money in gambling,poker is a game that is often taken as a result of being hurt by someone.
"hoping for a beautiful day, what did the clouds do that disappointed everyone?, misshapen, overcast, or homely? commonsense says","two “ beautiful q ” emails came in the same day, both posing questions about","when the weather is cloudy, it is clear that the weather is not sunny."
"the student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue?, inner ear, retina, or nasal cavity? commonsense says",inner ear is mainly responsible for sound detection and... latin,the brain is the only one that has a proper hearing.
"john and judy were parents. they had two wonderful kids who weren't always well behaved. they were light tough, though. they felt it was a parent's job to do what?, guide children, understand children, or control children? commonsense says",parents guide children were light toug,children are expected to be good at talking with others.
"where would one find a snake in a cage?, oregon, louisiana, or pet store? commonsense says",pet supplies : buy pet supplies online at best prices in india,"in the pet store, in the wild"
"the woman is watching television and trying to forget her day, what is her goal?, relaxation, falling asleep, or entertainment? commonsense says","when people want to relax, they typically like to zone out, and tv is a good way to do that",she was trying to relax and not worry about it.
"after climbing the mountains, the explored found the cave, what was the general goegraphy of the region he found it in?, rocky hills, kentucky, or west virginia? commonsense says",rocky hills in the mountains,kentucky is a region in the midwestern region of the united states
"where off the eastern u. s. would you find an anemone?, flower bed, florida keys, or coral sea? commonsense says",eastern u. s. would you fidn the jobs,florida is the only specific answer.
"john farms anemone in what type of facility?, nursery, michigan, or atlantic ocean? commonsense says",nursery john farms anemone in what type of facility,"an aquatic area is a part of a farm, not a house or an urban area."
"james looked up and saw the start twinkling in the black yonder. he marveled the sheer number of them and the size of what?, outer space, universe, or night sky? commonsense says",looked up and saw the start twinkling in the sea,the process of aging in humans
"john and tim like playing. it makes them what?, injury, get hungry, or feeling happy? commonsense says",feeling happy tim like playing. it makes them what?,being having fun makes you happy.
"what is something children can do while traveling in a car?, listen to music, play chess, or watch television? commonsense says",music to listen in go for ca,television is the only option that allows children to play.
"a man wants air conditioning while we watches the game on saturday, where will it likely be installed?, house, offices, or movie theatre? commonsense says",watches the game in house,the television is the only option that plays sports.
"what is part of a republic like the usa?, state, dictatorship, or democratic? commonsense says",a state is part of a republic like the usa,the united states is the united states.
"james wanted to find an old underground map from the 50s. where might he look for one?, super market, library, or subway station? commonsense says",library old underground map from the 50s. where might he look for one,the only place that might have
"what is printed with ink and distributed daily?, printer, fountain pen, or newspaper? commonsense says",i consider it the best option because they have to be more true,the printer is the only option that would produce a printed text
"where would you find the sharpest parts of a triangle?, three vertices, three sides, or 3 sides? commonsense says",plot these points and find the coordinates of the fourth vertex. [ closed ],is the best option in all
"why would a band be performing when there are no people nearby?, blaring, play music, or record album? commonsense says",vinyl records | ebay,"band may refer to : contents. a concert, or a concert..."
"if my husband never helps me doing housework, what might that lead to?, exhaustion, arguments, or headache? commonsense says",arguments are tricky.,"if you have a headache, you tend to argue more with people than likely have worked out of."
"joan wants to cook a potato, where should she place it?, boiling water, underground, or paper bag? commonsense says",that's the best option since that's where there are more roses,"a potato is cooked underground, not underground, and neither does a potato."
"working on the elaborate task was taxing, it require extreme what?, energy, job, or concentration? commonsense says",working on the concentration elaborate task was taxing,is the best since it is the best backup
"it would be pretty gross if you found out that your tuna was being caught with a booger what?, fine, microscopic, or net? commonsense says","tuna are caught in nets, so net is the most likely answer.","you would not be eating a fish if you were eating it, and you would not have to eat it in a fish bag. you would also have fish if you were eating a fish"
"there's one obvious reason to eat vegetables, they're plain what you?, good for, lose weight, or fibre? commonsense says",good for one obvious reason to eat vegetable,"if you don't eat vegetables, you don't want to eat vegetables."
"where would you go to get some pamphlets if you want to own them?, drawer, bookstore, or library? commonsense says",pamphlets are in bookstores.,the library is the only place that sells lantern.
"if i put in my key and open a hinged door, where am i likely entering?, building, own house, or kitchen? commonsense says",own house put in my key and open a hinged door,"a key is located in a house, not the other options."
"the planet mercury is unsuitable for human life or what?, toxic, uninhabitable, or poisonous? commonsense says","living on mercury would be hard ( infographic ) conditions on mercury would make living there a challenge. the planet closest to the sun has no atmosphere, oceans or visible signs of life. while mostly very hot on its day side, the poles are cold enough to support megatons of water ice. feb 3, 2015",toxic is the only option that is an option that is not safe
"during the winter hunt he could hear every motion in the woods, this was because of the what of everything?, stillness, being still, or standing still? commonsense says","feb 5, 2012 - tri - lakes area — if you hunt squirrels from early fall through the end... you know hunting during the harsh winter months is tough.... bagging squirrels during this time is simple ; just find a patch of hardwoods and start hunting.... despite all these negatives, however, late - season squirrel hunting can be",the fox will often be quiet when it is quiet.
"though she had a disability, what did her encouraging and positive coach see in her?, potential, strength, or competence? commonsense says",without disability no body can good potential.,the person has a hard work and will be able to do anything.
"they had no modesty and had no what of smugness?, impudence, lack, or extravagance? commonsense says",smugness lack of modesty,the opposite of modesty is impudence.
"a beaver is know for building prowess, their supplies come from where?, body of water, wooded area, or british columbia? commonsense says",wooded area beaver is know for building prowess,the wood of the wood is the only choice that is a good source of wood.
"everybody began performing once their director stated what?, injury, fear, or action? commonsense says",director directs action movie,people typically start their performance at a concert.
"what event might one buy tickets for seats?, auditorium, movies, or show? commonsense says",i have shown on the movie first tickets.,"you give them tickets to buy shows, not buy tickets or buy them at a movie"
"who might wear dark glasses indoors?, glove box, glove compartment, or blind person? commonsense says",c. blind person c. blind personmight wear dark glasses indoors?,a person on a sunglasses are on the inside
"what is it called when two people in love have children?, procreate, take oath, or live life? commonsense says",procreate on the app store,for the children to have sex is a forever
"the man got a pail to catch the draining motor oil, where was he likely doing this at home?, utility room, wishing well, or garage? commonsense says",online shopping for oil drains - fuel transfer & lubrication from a great selection at automotive store.... fn - series engine oil drain valve. sporacingrts compact black baffled oil catch valve. price $ 5. 99..... 1 - 24 of 228 results for automotive : tools & equipment : garage & shop : fuel transfer & lubrication : oil drains...,a washing machine is the only option that would have a washing machine
"a man takes a seat at a museum outside of barcelona, where is he likely?, in cinema, airplane, or martorell? commonsense says","antoni gaudi guell park - mosaic seating area adorned with multi - coloured tiles, park guell by antoni gaudi the house in which gaudi lived is now a museum.... the guide will take you around the most interesting parts of gaudi's park along... missing : man [UNK] | [UNK] include : [UNK]",a plane is a good place to see a passenger in a limo.
"what do people need to do to change their lives?, become disillusioned, better themselves, or face problems? commonsense says","what to do to change your life? 7 little habits that can change your life, and how to form them how to develop the habits. i've written a number of times about developing habits, but here are the basics : the seven little habits that can change your life.... develop positive thinking.... exercise.... single - tasking.... focus on one goal.... eliminate the non - essential.... kindness.",changing yourself is the only way to change yourself in ways that are different
"the weasel ran up away from danger, somebody joked only our first president could get him down from the what?, natural history museum, cherry tree, or washington dc? commonsense says",cherry tree weasel ran up away from dange,the president is the highest official in the world.
"what do the terms need to be in order to compete against someone?, in competition, fair, or practice? commonsense says",in order to compete fair,competition is the only word that can be used to describe something
"what does a self assured person often do?, feel important, trust himself, or know what time? commonsense says",feel important a self assured person often do,a confident person has trust in him.
"james was below the balloon. he watched it rise. what direction did he look in?, aloft, upstairs, or upwards? commonsense says",that's the best option since that's where there are more roses,"when a balloon is high, it is usually the highest point in the sky."
"the costumes were stored backstage in britain, what were they being used for?, opera, theater, or theatre? commonsense says","costume is the distinctive style of dress of an individual or group that reflects their class, gender, profession, ethnicity, nationality, activity or epoch. the term also was traditionally used to describe typical appropriate clothing.... in australia, the united kingdom and the united states the american version of a santa suit and","in the opera, they are usually in costume."
"at the picnic she was stuck eating hamburger, she was worried because she forgot her chewables to prevent what?, have fun, heartburn, or food poisoning? commonsense says","not a question, this does not make sense.",eating hamburgers will prevent you from eating too much.
"what western state has thousands of miles of shore?, california, seaside town, or beach? commonsense says",california is the place for having miles of shore.,california is the only state in the list of states.
"if a fried egg was runny and there was no toast to sop it up, after the meal there'd be a messy what?, henhouse, plate, or bird's nest? commonsense says",a fried egg would not be in a bird's nest or henhouse,the meat in the fire would make it's own food
"which large land mass is home to the most monkeys?, african continent, friend's house, or amazon basin? commonsense says","that might make you think of earth as the planet of the apes ( plus monkeys, lemurs,... let's see how the humans in the four most primate - heavy countries are",africa is the only place that is not a location.
